ID;historicalCase_ID;partnerId;partnerName;functionTitle;partnerRole;email;phone
"82cc66fa-7cdf-415c-907e-1dcc1570d033";"9209086d-681f-4584-9529-314397c388ec";"100001";"Heli Weber";"Quality Engineer & 8D Facilitator";"8D Team Leader";"heli.weber@proresolve.com";"+49 89 2018 0001"
"640a4a64-14b1-458f-86f7-3a04f944899c";"9209086d-681f-4584-9529-314397c388ec";"100067";"Marek Nowak";"Process Engineer - Coating & Surface Treatment";"8D Team Member";"marek.nowak@proresolve.com";"+49 89 2018 0067"
"90b61c7a-318d-476e-b175-917367cc10d0";"9209086d-681f-4584-9529-314397c388ec";"100147";"Lena Hoffmann";"Metrology Specialist & CMM Inspector";"8D Team Member";"lena.hoffmann@proresolve.com";"+49 89 2018 0147"
"df812005-c1ad-4e39-9f43-f3320a3d2ec5";"9209086d-681f-4584-9529-314397c388ec";"100011";"Quyen La";"Quality Technician & Line Inspector";"8D Team Member";"quyen.la@proresolve.com";"+49 89 2018 0011"
"8d18f9b6-3406-49e3-b763-b7825252d315";"39ef4d66-cb92-4ed5-b61c-c8457eb2289f";"100001";"Heli Weber";"Quality Engineer & 8D Facilitator";"8D Team Leader";"heli.weber@proresolve.com";"+49 89 2018 0001"
"128c64f2-2489-4b32-979a-6a7c312ac66b";"39ef4d66-cb92-4ed5-b61c-c8457eb2289f";"100088";"Rita Fischer";"Assembly Supervisor";"8D Team Member";"rita.fischer@proresolve.com";"+49 89 2018 0088"
"f9a82be1-fa9a-4158-b33b-984ddd512f7a";"39ef4d66-cb92-4ed5-b61c-c8457eb2289f";"100011";"Quyen La";"Quality Technician & Line Inspector";"8D Team Member";"quyen.la@proresolve.com";"+49 89 2018 0011"
"31583161-440d-4a25-9190-6453b6006197";"55ace1c1-46ed-4c6e-ab80-37b4a6181395";"100001";"Heli Weber";"Quality Engineer & 8D Facilitator";"8D Team Leader";"heli.weber@proresolve.com";"+49 89 2018 0001"
"a0c6ab6c-7afe-44db-acda-1fb6a8925c8f";"55ace1c1-46ed-4c6e-ab80-37b4a6181395";"100147";"Lena Hoffmann";"Metrology Specialist & CMM Inspector";"8D Team Member";"lena.hoffmann@proresolve.com";"+49 89 2018 0147"
"3b29d699-62fe-48a7-8647-38af10c60d3e";"55ace1c1-46ed-4c6e-ab80-37b4a6181395";"100031";"Sara Klein";"Supplier Quality Engineer";"8D Team Member";"sara.klein@proresolve.com";"+49 89 2018 0031"
"e9ebd0be-95f8-4f63-bafe-3d5dafa485b9";"191c83fd-10f1-4663-8af0-eebcfb72b8c9";"100001";"Heli Weber";"Quality Engineer & 8D Facilitator";"8D Team Leader";"heli.weber@proresolve.com";"+49 89 2018 0001"
"ce944c07-109e-4afd-a414-0e4291b1f72c";"191c83fd-10f1-4663-8af0-eebcfb72b8c9";"100088";"Rita Fischer";"Assembly Supervisor";"8D Team Member";"rita.fischer@proresolve.com";"+49 89 2018 0088"
"d98884bf-56b0-4cf8-be4e-9b99c8c6546c";"191c83fd-10f1-4663-8af0-eebcfb72b8c9";"100011";"Quyen La";"Quality Technician & Line Inspector";"8D Team Member";"quyen.la@proresolve.com";"+49 89 2018 0011"
"08135fc9-ed9d-4a41-98d3-2ac8dd7f0cee";"04dab05b-1205-4e0a-8ab3-1354394dca64";"100001";"Heli Weber";"Quality Engineer & 8D Facilitator";"8D Team Leader";"heli.weber@proresolve.com";"+49 89 2018 0001"
"cebb178b-70f6-4aac-a633-d955ca6a1cee";"04dab05b-1205-4e0a-8ab3-1354394dca64";"100067";"Marek Nowak";"Process Engineer - Coating & Surface Treatment";"8D Team Member";"marek.nowak@proresolve.com";"+49 89 2018 0067"
"10c1cd1c-653d-4d84-9d91-7b991989b7c9";"04dab05b-1205-4e0a-8ab3-1354394dca64";"100011";"Quyen La";"Quality Technician & Line Inspector";"8D Team Member";"quyen.la@proresolve.com";"+49 89 2018 0011"
"29edfe46-e502-4f91-a681-50fa4027a58b";"6d80cd68-63d5-4c6d-ac6a-1e38878ab8f1";"100001";"Heli Weber";"Quality Engineer & 8D Facilitator";"8D Team Leader";"heli.weber@proresolve.com";"+49 89 2018 0001"
"da09b054-2de3-40fb-8181-5e7656721485";"6d80cd68-63d5-4c6d-ac6a-1e38878ab8f1";"100023";"Luis Moreno";"Foundry & Casting Process Engineer";"8D Team Member";"luis.moreno@proresolve.com";"+49 89 2018 0023"
"b8b76045-2dcc-45e1-8dd1-120fe8e1937f";"6d80cd68-63d5-4c6d-ac6a-1e38878ab8f1";"100011";"Quyen La";"Quality Technician & Line Inspector";"8D Team Member";"quyen.la@proresolve.com";"+49 89 2018 0011"
"e81275d6-76b5-48a6-ad3f-fab84fa5f30c";"0d8d48d2-f958-4549-9beb-d241a7e9dd60";"100001";"Heli Weber";"Quality Engineer & 8D Facilitator";"8D Team Leader";"heli.weber@proresolve.com";"+49 89 2018 0001"
"479acb81-85c4-404d-8c17-41ec57a932ae";"0d8d48d2-f958-4549-9beb-d241a7e9dd60";"100023";"Luis Moreno";"Foundry & Casting Process Engineer";"8D Team Member";"luis.moreno@proresolve.com";"+49 89 2018 0023"
"cb9424a2-5b28-4133-a93c-a808815d1d09";"0d8d48d2-f958-4549-9beb-d241a7e9dd60";"100011";"Quyen La";"Quality Technician & Line Inspector";"8D Team Member";"quyen.la@proresolve.com";"+49 89 2018 0011"
"2cabee56-67ca-47c3-acd2-b69512fb091a";"cf5c763f-baae-4961-898c-34214add77c4";"100001";"Heli Weber";"Quality Engineer & 8D Facilitator";"8D Team Leader";"heli.weber@proresolve.com";"+49 89 2018 0001"
"ddecbb98-8829-4592-83cf-98e9915551fd";"cf5c763f-baae-4961-898c-34214add77c4";"100067";"Marek Nowak";"Process Engineer - Coating & Surface Treatment";"8D Team Member";"marek.nowak@proresolve.com";"+49 89 2018 0067"
"18be9d1c-cfc6-4916-9f0d-d62c550215d4";"cf5c763f-baae-4961-898c-34214add77c4";"100031";"Sara Klein";"Supplier Quality Engineer";"8D Team Member";"sara.klein@proresolve.com";"+49 89 2018 0031"
"6c24bc9f-5ce2-4ac2-a0a5-f59c51f433b3";"517baf73-0805-4bf7-aa30-4364c5b54661";"100001";"Heli Weber";"Quality Engineer & 8D Facilitator";"8D Team Leader";"heli.weber@proresolve.com";"+49 89 2018 0001"
"0b34c7f8-b8db-4dad-b190-6a0bee90231a";"517baf73-0805-4bf7-aa30-4364c5b54661";"100088";"Rita Fischer";"Assembly Supervisor";"8D Team Member";"rita.fischer@proresolve.com";"+49 89 2018 0088"
"daf5f74e-ab15-435d-8517-064cda172730";"517baf73-0805-4bf7-aa30-4364c5b54661";"100011";"Quyen La";"Quality Technician & Line Inspector";"8D Team Member";"quyen.la@proresolve.com";"+49 89 2018 0011"
"44dbbbb3-adf3-4945-ba0d-c4996018a483";"d26882a4-d5b0-4f7f-adf6-674b86f84aa6";"100001";"Heli Weber";"Quality Engineer & 8D Facilitator";"8D Team Leader";"heli.weber@proresolve.com";"+49 89 2018 0001"
"4b202253-7fb1-4ad6-941b-b7dc3c03786c";"d26882a4-d5b0-4f7f-adf6-674b86f84aa6";"100023";"Luis Moreno";"Foundry & Casting Process Engineer";"8D Team Member";"luis.moreno@proresolve.com";"+49 89 2018 0023"
"d8354338-6f99-4d7a-aa81-05533b3e6367";"d26882a4-d5b0-4f7f-adf6-674b86f84aa6";"100031";"Sara Klein";"Supplier Quality Engineer";"8D Team Member";"sara.klein@proresolve.com";"+49 89 2018 0031"
"6b29ac26-18f0-4897-9539-b881d0128628";"f6438642-e385-47bc-ad9f-25aef35bb112";"100001";"Heli Weber";"Quality Engineer & 8D Facilitator";"8D Team Leader";"heli.weber@proresolve.com";"+49 89 2018 0001"
"6d1e1948-4605-46aa-8dce-04b7027dcb4c";"f6438642-e385-47bc-ad9f-25aef35bb112";"100031";"Sara Klein";"Supplier Quality Engineer";"8D Team Member";"sara.klein@proresolve.com";"+49 89 2018 0031"
"9b0a89ea-972f-4109-9616-a28c4ade83bf";"f6438642-e385-47bc-ad9f-25aef35bb112";"100011";"Quyen La";"Quality Technician & Line Inspector";"8D Team Member";"quyen.la@proresolve.com";"+49 89 2018 0011"
"c71227da-c0b4-42b5-a687-a1c3903febcc";"2741b7d4-5b54-4801-81f9-91ebc97f5d55";"100001";"Heli Weber";"Quality Engineer & 8D Facilitator";"8D Team Leader";"heli.weber@proresolve.com";"+49 89 2018 0001"
"7c846e1b-27c7-4d20-9a26-3c6f1fac8bf6";"2741b7d4-5b54-4801-81f9-91ebc97f5d55";"100088";"Rita Fischer";"Assembly Supervisor";"8D Team Member";"rita.fischer@proresolve.com";"+49 89 2018 0088"
"054467db-7bf0-49e7-abd3-0226a7ecf758";"2741b7d4-5b54-4801-81f9-91ebc97f5d55";"100011";"Quyen La";"Quality Technician & Line Inspector";"8D Team Member";"quyen.la@proresolve.com";"+49 89 2018 0011"
"1fced110-9b03-4088-8c37-ecddce43829a";"1f007d80-c279-458e-ad69-b53473d28736";"100001";"Heli Weber";"Quality Engineer & 8D Facilitator";"8D Team Leader";"heli.weber@proresolve.com";"+49 89 2018 0001"
"533357c2-bfca-4980-a719-f938a6569c87";"1f007d80-c279-458e-ad69-b53473d28736";"100147";"Lena Hoffmann";"Metrology Specialist & CMM Inspector";"8D Team Member";"lena.hoffmann@proresolve.com";"+49 89 2018 0147"
"d58d3fbc-9efb-4327-969e-389851b57fa0";"1f007d80-c279-458e-ad69-b53473d28736";"100011";"Quyen La";"Quality Technician & Line Inspector";"8D Team Member";"quyen.la@proresolve.com";"+49 89 2018 0011"
"6ff26f8a-a961-4a45-a9b3-ba34f40a7730";"ca09d935-47bb-4780-809b-9e8282c3dcb7";"100001";"Heli Weber";"Quality Engineer & 8D Facilitator";"8D Team Leader";"heli.weber@proresolve.com";"+49 89 2018 0001"
"f92b9115-fb22-4e0d-8c46-8b0028baf2ff";"";"100000";"Local Developer";"8D Team Leader & Quality Champion";"8D Team Leader";"developer@proresolve.com";"+49 89 2018 0000"
"ab74b4d0-fb95-4df2-87f2-1a1c6e0afdb5";"";"100072";"Stefan Wolf";"Electrical & Controls Automation Technician";"8D Team Member";"stefan.wolf@proresolve.com";"+49 89 2018 0072"
"8fbd45e6-f48f-443a-b103-e8cfd7efd486";"";"100095";"Elena Rostova";"Materials & Metallurgy Specialist";"8D Team Member";"elena.rostova@proresolve.com";"+49 89 2018 0095"
"f45ab954-74b5-4467-a91d-bbb16e2cf8d1";"";"100112";"Thomas Meyer";"Mechanical Maintenance Technician";"8D Team Member";"thomas.meyer@proresolve.com";"+49 89 2018 0112"
"2292e1b8-7a4c-4efb-bb23-82fd2b10b130";"";"100125";"Christian Bauer";"Powder Coating & Painting Specialist";"8D Team Member";"christian.bauer@proresolve.com";"+49 89 2018 0125"
"e2fac8a2-307e-42f7-a546-fa6cb532a52d";"";"100138";"Tobias Berg";"Milling & Machining Specialist";"8D Team Member";"tobias.berg@proresolve.com";"+49 89 2018 0138"
